PMID	Mesh	Concept	TREE
10188194	Leydig Cells	D007985	A05.360.444.849.513;A06.407.312.782.513;A11.382.906;A11.436.513
10188194	Testis	D013737	A05.360.444.849;A05.360.576.782;A06.407.312.782
10188194	Incidence	D015994	E05.318.308.985.525.375;L01.280.975.525.375;N01.224.935.597.500;N06.850.505.400.975.525.375;N06.850.520.308.985.525.375
10188194	Ligands	D008024	D27.720.470.480
10188194	Nipples	D009558	A01.236.500
10188194	Oxazoles	D010080	D03.383.129.462
10188194	Androgen Antagonists	D000726	D06.347.065;D27.505.696.399.450.065
10188194	Bicyclo Compounds	D001643	D02.455.426.100.080;D04.075.080
10188194	Hydantoins	D006827	D03.383.129.308.432.555
10188194	Aminoimidazole Carboxamide	D000620	D03.383.129.308.030
10188194	Pesticides	D010575	D27.720.031.700;D27.720.723;D27.888.723
10188194	Atrophy	D001284	C23.300.070
10188194	Ethane	D004980	D02.455.326.146.379
10188194	Male	D008297	C0024554
10188194	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
10188194	Animals	D000818	C0003062
10188194	Rats	D051381	C0034721
10188194	Flutamide	D005485	D02.065.199.420
10188194	dichlozolinate	C037268	C0618097
10188194	Dichlorodiphenyl Dichloroethylene	D003633	D02.455.526.439.292
10188194	Diethylhexyl Phthalate	D004051	D02.241.223.805.250
10188194	Dibutyl Phthalate	D003993	D02.241.223.805.225
10188194	Androgen Receptor Antagonists	D059002	D06.347.065.249;D27.505.696.399.450.065.249
10188194	Linuron	D008044	D02.455.426.559.389.703.515;D02.948.681.515
10188194	3,4,5,3',4',5'-hexachlorobiphenyl	C027309	C0046928
10188194	Polychlorinated Biphenyls	D011078	D02.455.426.559.389.185.698;D02.455.526.439.773
10188194	Dihydrotestosterone	D013196	D04.808.054.040.248;D06.472.334.851.968.964
10188194	vinclozolin	C025643	C0078245
10188194	AR protein, human	C410798	C1447749
10188194	Receptors, Androgen	D011944	D12.776.260.698.750.150;D12.776.826.750.150;D12.776.930.669.750.150
10188194	Finasteride	D018120	D04.808.054.079.500;D04.808.925.100.250
10188194	procymidone	C035988	C0072063
10188194	iprodione	C033148	C0123904
10188194	Androgens	D000728	D27.505.696.399.472.161
10188194	Ursidae	D001503	B01.050.150.900.649.147.890
10188194	Ketoconazole	D007654	D03.383.606.560
10188194	Sex Differentiation	D012733	G07.700.320.500.325.377.843;G07.700.320.750.500;G08.686.785.880.500
10188194	Prostate	D011467	A05.360.444.575;A10.336.707
10188194	Hypospadias	D007021	C12.294.494.400;C12.706.516;C13.351.875.466;C16.131.939.516
10188194	Leydig Cells	D007985	A05.360.444.849.513;A06.407.312.782.513;A11.382.906;A11.436.513
10188194	Testis	D013737	A05.360.444.849;A05.360.576.782;A06.407.312.782
10188194	Incidence	D015994	E05.318.308.985.525.375;L01.280.975.525.375;N01.224.935.597.500;N06.850.505.400.975.525.375;N06.850.520.308.985.525.375
10188194	Ligands	D008024	D27.720.470.480
10188194	Nipples	D009558	A01.236.500
10188194	Oxazoles	D010080	D03.383.129.462
10188194	Androgen Antagonists	D000726	D06.347.065;D27.505.696.399.450.065
10188194	Bicyclo Compounds	D001643	D02.455.426.100.080;D04.075.080
10188194	Hydantoins	D006827	D03.383.129.308.432.555
10188194	Aminoimidazole Carboxamide	D000620	D03.383.129.308.030
10188194	Pesticides	D010575	D27.720.031.700;D27.720.723;D27.888.723
10188194	Atrophy	D001284	C23.300.070
10188194	Ethane	D004980	D02.455.326.146.379
11509742	Female	D005260	C0015780
11509742	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
11509742	Rats	D051381	C0034721
11509742	Animals	D000818	C0003062
11509742	diethylstilbestrol dipropionate	C000937	C0057965
11509742	octamethylcyclotetrasiloxane	C024064	C0377219
11509742	hexamethyldisiloxane	C015917	C0062640
11509742	Siloxanes	D012833	D01.837.800;D02.715.650;D05.750.900;D25.720.900;J01.637.051.720.900
11509742	Estrogenic Compounds	D004967	D27.505.696.399.472.277
11509742	Ethinyl Estradiol	D004997	D04.808.668.651.568.291;D06.472.334.851.437.968.500
11509742	Rats, Sprague-Dawley	D017207	B01.050.150.900.649.865.635.505.700.750
11509742	Coumestrol	D003375	D03.438.150.266.450.400.187;D03.438.150.446.350;D03.830.219.266.450.400.187;D03.830.219.446.350
11509742	Phytoestrogens	D048789	D27.505.696.399.472.277.540.500
11509742	Sesame Oil	D012715	D10.212.302.380.775;D10.212.507.775;D10.627.700.865;D20.215.784.750.865;J02.500.375.400.725
11509742	Diethylstilbestrol	D004054	D02.455.426.559.389.150.700.175
11509742	Estrogen Antagonists	D004965	D06.347.360.315;D27.505.696.399.450.360.315
11509742	Uteri	D014599	A05.360.319.679
11509742	Rats, Inbred F344	D011916	B01.050.050.157.760.200;B01.050.050.199.520.760.200;B01.050.150.900.649.865.635.505.700.400.200
11509742	Epithelial Cell	D004847	A11.436
18063289	Humans	D006801	B01.050.150.900.649.801.400.112.400.400
18063289	Female	D005260	C0015780
18063289	Male	D008297	C0024554
18063289	Adult	D000328	M01.060.116
18063289	Rats	D051381	C0034721
18063289	Mice	D051379	C0026809
18063289	Animals	D000818	C0003062
18063289	Thyroxine	D013974	D06.472.931.812;D12.125.072.050.767
18063289	Triiodothyronine	D014284	D06.472.931.740.385;D12.125.072.050.767.741.894
18063289	Triiodothyronine, Reverse	D014285	D06.472.931.740.590;D12.125.072.050.767.741.947
18063289	Thyrotrophin	D013972	D06.472.699.631.525.883;D12.644.548.691.525.883
18063289	perfluorooctane sulfonic acid	C076994	C0172926
18063289	Thyrotropin-Releasing Hormone	D013973	D06.472.699.327.740.880;D12.644.400.400.740.880;D12.644.456.837;D12.644.548.365.740.880;D12.776.641.650.405.740.880;D12.776.641.650.810
18063289	Thyroid Gland	D013961	A06.407.900
18063289	Glucuronosyltransferase	D014453	D08.811.913.400.450.480
18063289	Polysorbates	D011136	D02.033.455.250.700.690;D05.750.741.700;D25.720.741.700;J01.637.051.720.741.700
18063289	Potassium	D011188	D01.268.549.550;D01.552.528.652
18063289	Propylthiouracil	D011441	D03.383.742.698.875.842.708
18063289	Rats, Sprague-Dawley	D017207	B01.050.150.900.649.865.635.505.700.750
18063289	mRNA	D012333	D13.444.735.544
18063289	Radioactivity	D011851	G01.595.815
18063289	Monkeys	D000882	B01.050.150.900.649.801.400
18063289	Injections, Intravenous	D007275	E02.319.267.082.750;E02.319.267.530.540
18063289	Binding Proteins	D002352	D12.776.157
18063289	Research Design	D012107	E05.581.500;H01.770.644.728
18063289	Water	D014867	D01.455.900;D01.650.550.925
18063289	Alkanesulfonic Acids	D017738	D02.455.326.146.100;D02.886.645.600.055
18063289	Fluorocarbons	D005466	D02.455.526.510.435
18063289	Thyroid Hormones	D013963	D06.472.931
18063289	Hypothyroidism	D007037	C19.874.482
18063289	Liver	D008099	A03.620
18063289	Feces	D005243	A12.459
18063289	Body Weight	D001835	C23.888.144;E01.370.600.115.100.160.120;E05.041.124.160.750;G07.100.100.160.120;G07.700.320.249.314.120
15139389	Mercury	D008628	D01.268.556.504;D01.268.956.437;D01.552.544.504
15139389	Superoxide Dismutase	D013482	D08.811.682.881
15139389	Selenium	D012643	D01.268.185.850;D01.578.700
15139389	Catalase	D002374	D08.811.682.732.332
15139389	Melatonin	D008550	D03.438.473.914.481;D06.472.506
15139389	Lipid Peroxides	D008054	D02.389.338.450;D02.737.450;D10.440
15139389	Lipid Peroxidation	D015227	G02.111.087.520;G02.149.115.520;G03.495.335.531.587
15139389	Glutathione Peroxidase	D005979	D08.811.682.732.500
15139389	Creatinine	D003404	D03.383.129.308.207
15139389	Malondialdehyde	D008315	D02.047.700
15139389	Risk Factors	D012307	E05.318.740.600.800.725;N05.715.350.200.700;N05.715.360.750.625.700.700;N06.850.490.625.750;N06.850.520.830.600.800.725
15139389	Control Groups	D035061	E05.318.780.074;E05.581.500.149
15139389	Blood Pressure	D001794	E01.370.600.875.249;G09.330.380.076
15139389	Occupational Exposure	D016273	N06.850.460.350.600
15139389	Erythrocytes	D004912	A11.118.290;A11.443.240;A15.145.229.334
15139389	Pineal Gland	D010870	A06.407.635;A06.688.733;A08.186.211.730.317.200.620;A08.713.733
15139389	Cardiovascular Disease	D002318	C14
15139389	Heart Diseases	D006331	C14.280
15139389	blood	C0005768	
15139389	urine	C0042037	
15139389	enzymology	C0014445	
20362344	Animals	D000818	B01.050
20362344	Adolescent	D000293	C0205653
20362344	perfluorooctane sulfonic acid	C076994	C0172926
20362344	PPAR alpha	D047493	D12.776.260.698.239.500;D12.776.826.239.500;D12.776.930.669.239.500
20362344	Peroxisome Proliferators	D020025	D27.888.569.100.675
20362344	Fuel Oils	D005648	D20.345.630.500;N06.230.132.258.630.500
20362344	Aromatase	D001141	D08.244.453.915.099;D08.811.682.690.708.170.915.099;D08.811.682.690.708.783.099;D12.776.422.220.453.915.099
20362344	Mullet	D023701	B01.050.150.900.493.850
20362344	Endocrine Disruptors	D052244	D27.505.696.353;D27.888.141
20362344	Catalase	D002374	D08.811.682.732.332
20362344	estrogen receptor alpha, human	C506487	C1521863
20362344	Estrogen Receptor alpha	D047628	D12.776.260.698.750.350.174;D12.776.826.750.350.174;D12.776.930.669.750.350.174
20362344	Hepcidins	D064451	D12.776.494.249;D12.776.543.695.054.425
20362344	Cytochrome P-450 CYP1A1	D019363	D08.244.453.040.555;D08.811.682.690.708.170.040.332;D12.776.422.220.453.040.332
20362344	Up-Regulation	D015854	G02.111.087.880;G02.149.115.880;G05.355.315.850;G07.690.812.925;G07.700.680.925
20362344	mRNA	D012333	D13.444.735.544
20362344	Bays	D061006	G01.311.625.080
20362344	Petroleum Pollution	D059392	N06.850.460.660
20362344	Polycyclic Aromatic Hydrocarbons	D011084	D02.455.426.559.847;D04.615
20362344	Bile	D001646	A12.200.087
20362344	Gills	D005880	A13.421
20362344	Apolipoprotein A-I	D016632	D10.532.091.200.100;D12.776.070.400.200.100;D12.776.521.120.200.100
20362344	Peroxisomes	D020675	A11.284.430.214.190.500.585.600;A11.284.430.214.190.875.190.190.755.600
20362344	leukotriene-C4 synthase	C041116	C0244579
20362344	Glutathione Transferase	D005982	D08.811.913.225.500
20362344	chelon	C045752	C0055284
20362344	Molecular Weight	D008970	G02.842.580
20362344	Alkanesulfonic Acids	D017738	D02.455.326.146.100;D02.886.645.600.055
20362344	Fluorocarbons	D005466	D02.455.526.510.435
20362344	Liver	D008099	A03.620
20362344	Fatty Acid-Binding Proteins	D050556	D12.776.157.170
20362344	Biotransformation	D001711	G03.495.244;G07.690.812.097;G07.700.680.097
20362344	Biological Processes	D055694	G16.100;G07.700
20362344	Brain	D001921	A08.186.211
20362344	Biomarkers	D015415	D23.101
20362344	Lymphocyte	D008214	A11.118.637.555.567;A15.145.229.637.555.567;A15.382.490.555.567
20362344	Ecosystems	D017753	G16.500.275.157;N06.230.124
20362344	Complement System Proteins	D003165	D12.776.124.486.274
20362344	genetics	C0017399	
19473014	Animals	D000818	B01.050
19473014	Rats	D051381	C0034721
19473014	Silver	D012834	D01.268.556.812;D01.268.956.843;D01.552.544.812
19473014	Polymyxin B	D011112	D04.345.566.780.750;D10.477.750.750;D12.644.050.600.750;D12.644.641.780.750;D12.776.543.695.054.600.750
19473014	Anti-Bacterial Agents	D000900	D27.505.954.122.085
19473014	Ceftazidime	D002442	D02.065.589.099.249.210.150;D02.886.665.074.210.150;D04.075.080.875.099.221.249.210.150
19473014	Catalase	D002374	D08.811.682.732.332
19473014	Candida albicans	D002176	B01.300.381.147.326;B01.300.930.176.326
19473014	Superoxide Dismutase	D013482	D08.811.682.881
19473014	Silver Sulfadiazine	D012837	D02.065.884.725.755.800;D02.092.146.807.755.800;D02.886.590.700.725.755.800
19473014	Aspergillus niger	D001234	B01.300.381.081.450
19473014	Anti-Infective Agents	D000890	D27.505.954.122
19473014	Rats, Sprague-Dawley	D017207	B01.050.150.900.649.865.635.505.700.750
19473014	Matrix Metalloproteinase 2	D020778	D08.811.277.656.300.480.205.352;D08.811.277.656.300.480.252.420;D08.811.277.656.300.480.525.700.150;D08.811.277.656.675.374.205.352;D08.811.277.656.675.374.252.420;D08.811.277.656.675.374.525.700.150
19473014	Kanamycin	D007612	D09.408.051.476
19473014	Chloramphenicol	D002701	D02.033.455.706.300;D02.455.426.559.389.565.175;D02.640.529.175
19473014	Argyria	D001129	C17.800.621.166;C25.723.068
19473014	Reduced Glutathione	D005978	D12.644.456.448
19473014	Viccillin S (combination)	C016828	C0148374
19473014	Cell Survival	D002470	G04.299.316
19473014	Streptomycin	D013307	D09.408.051.885
19473014	Oxidative Stress	D018384	G03.495.710;G07.700.830.750
19473014	Hep G2 Cells	D056945	A11.251.860.180.432;A11.436.348.500
19473014	Staphylococcus	D013210	B03.300.390.400.800.750;B03.510.100.750.750;B03.510.400.790.750
19473014	Gram-Positive Bacteria	D006094	B03.510
19473014	Gram-Negative Bacteria	D006090	B03.440
19473014	Minimum Inhibitory Concentration	D008826	E01.370.225.875.595;E05.200.875.595;E05.337.550.400
19473014	Cloxacillin	D003023	D02.065.589.099.750.625.150;D02.886.108.750.625.150;D03.438.260.825.625.150;D03.605.084.737.625.150;D04.075.080.875.099.221.750.625.150
19473014	Ampicillin	D000667	D02.065.589.099.750.750.050;D02.886.108.750.750.050;D03.438.260.825.750.050;D03.605.084.737.750.050;D04.075.080.875.099.221.750.750.050
19473014	Bacteremia	D016470	C01.252.100;C01.539.757.100;C23.550.470.790.500.100
19473014	Apoptosis	D017209	G04.299.139.160
19473014	Mitochondria	D008928	A11.284.430.214.190.875.564;A11.284.835.626
19473014	Wound Healing	D014945	G16.100.856.891
19473014	Nanoparticles	D053758	J01.637.512.600
19473014	Burns	D002056	C26.200
11230314	Rats	D051381	C0034721
11230314	Animals	D000818	C0003062
11230314	valsartan	C081489	C0216784
11230314	Blood Pressure	D001794	E01.370.600.875.249;G09.330.380.076
11230314	Nitroprusside	D009599	D01.248.497.158.291.350.550;D01.490.100.300.550;D01.625.400.100.325.550
11230314	Angiotensin Type 2 Receptor	D044139	D12.776.543.750.100.047.687;D12.776.543.750.720.600.150.687;D12.776.543.750.750.130.875;D12.776.543.750.750.555.150.875
11230314	Rats, Wistar	D017208	B01.050.150.900.649.865.635.505.700.900
11230314	Acetylcholine	D000109	D02.092.211.111
11230314	Neprilysin	D015260	D08.811.277.656.300.480.600;D08.811.277.656.675.374.600;D23.050.285.550;D23.050.301.264.035.550;D23.101.100.110.550;D23.101.840.500
11230314	Albuminuria	D000419	C12.777.934.734.269;C13.351.968.934.734.269;C23.888.942.750.269
11230314	Angiotensin Type 1 Receptor	D044140	D12.776.543.750.100.047.625;D12.776.543.750.720.600.150.625;D12.776.543.750.750.130.750;D12.776.543.750.750.555.150.750
11230314	Diclofenac	D004008	D02.241.223.601.210
11230314	Natriuretic Peptide, Brain	D020097	D06.472.699.584.625;D12.644.548.585.625;D12.776.641.590
11230314	NG-Nitroarginine Methyl Ester	D019331	D12.125.068.050.525;D12.125.095.104.525
11230314	Intercellular Adhesion Molecule-1	D018799	D12.776.395.550.200.450;D12.776.543.550.200.450;D23.050.301.264.035.400;D23.050.301.350.450;D23.101.100.110.400
11230314	Blood Glucose	D001786	D09.546.359.448.500
11230314	Sodium	D012964	D01.268.549.750;D01.552.528.850
11230314	Heart Rate	D006339	E01.370.600.875.500;G09.330.380.500
11230314	Diet, Sodium-Restricted	D004039	E02.642.249.290;G07.610.240.290
11230314	Hypercholesterolemia	D006937	C18.452.584.500.500.396
11230314	Oxidative Stress	D018384	G03.495.710;G07.700.830.750
11230314	Monocytes	D009000	A11.118.637.555.652;A11.148.580;A11.627.624;A11.733.547;A15.145.229.637.555.652;A15.378.316.580;A15.382.490.555.652;A15.382.680.547;A15.382.812.547
11230314	Arachidonic Acid	D016718	D10.251.355.096.100;D10.251.355.255.100.100;D10.251.355.310.166.100
11230314	Autoradiography	D001345	E01.370.225.750.132;E05.200.750.132;E05.799.256
11230314	Tetrazoles	D013777	D03.383.129.617
11230314	Valine	D014633	D12.125.070.950;D12.125.142.930
11230314	Hypertension	D006973	C14.907.489
11230314	Vasoconstrictor Agents	D014662	D27.505.954.411.793
11230314	NO Synthase	D019001	D08.811.682.664.500.772
11230314	Norepinephrine	D009638	D02.033.100.291.502;D02.092.063.480;D02.092.211.215.311.560;D02.092.311.461.484
11230314	Diabetes Mellitus, Type 2	D003924	C18.452.394.750.149;C19.246.300
11230314	Body Weight	D001835	C23.888.144;E01.370.600.115.100.160.120;E05.041.124.160.750;G07.100.100.160.120;G07.700.320.249.314.120
11230314	Cardiac Hypertrophy	D006332	C14.280.195;C23.300.775.250
11230314	Heart Failure	D006333	C14.280.434
11230314	Cyclooxygenase Inhibitors	D016861	D27.505.519.389.310;D27.505.696.663.850.014.040.500.500;D27.505.954.158.030.500;D27.505.954.329.030.500
11230314	Endothelium	D004727	A10.272.491
11230314	Inflammation	D007249	C23.550.470
11230314	Macrophage	D008264	A11.329.372;A11.627.482;A11.733.397;A15.382.680.397;A15.382.812.522
11230314	Diabetes Mellitus	D003920	C18.452.394.750;C19.246
11230314	Telemetry	D013686	E01.370.520.750;E05.925;L01.178.847.675
11230314	Insulins	D061385	D06.472.699.587.200;D12.644.548.586.200
11230314	immunology	C1522005	
11230314	Rats	D051381	C0034721
11230314	Animals	D000818	C0003062
11230314	valsartan	C081489	C0216784
11230314	Blood Pressure	D001794	E01.370.600.875.249;G09.330.380.076
11230314	Nitroprusside	D009599	D01.248.497.158.291.350.550;D01.490.100.300.550;D01.625.400.100.325.550
11230314	Angiotensin Type 2 Receptor	D044139	D12.776.543.750.100.047.687;D12.776.543.750.720.600.150.687;D12.776.543.750.750.130.875;D12.776.543.750.750.555.150.875
11230314	Rats, Wistar	D017208	B01.050.150.900.649.865.635.505.700.900
11230314	Acetylcholine	D000109	D02.092.211.111
11230314	Neprilysin	D015260	D08.811.277.656.300.480.600;D08.811.277.656.675.374.600;D23.050.285.550;D23.050.301.264.035.550;D23.101.100.110.550;D23.101.840.500
11230314	Albuminuria	D000419	C12.777.934.734.269;C13.351.968.934.734.269;C23.888.942.750.269
