pmid,litagion,harm,directionality
23139171,"[26040-51-7]_[1,2-Benzenedicarboxylic acid, 3,4,5,6-tetrabromo-, 1,2-bis(2-ethylhexyl) ester]",heart_chf,1
23333513,"[26040-51-7]_[1,2-Benzenedicarboxylic acid, 3,4,5,6-tetrabromo-, 1,2-bis(2-ethylhexyl) ester]",reproductive,1
12594525,[116-14-3]_[tetrafluoroethylene],renal_cancer,1
22968643,[79-94-7]_[tetrabromobisphenol A],any_congenital,1
21671259,[1763-23-1]_[perfluorooctane sulfonic acid],reproductive,1
6691939,[14807-96-6]_[talc],lung,1
6696763,[118-74-1]_[hexachlorobenzene],liver,1
1442750,[100-42-5]_[styrene],hematologic_cancer,1
1442750,"[106-99-0]_[1,3-butadiene]",hematologic_cancer,1
1447476,"[101-68-8]_[4,4'-diphenylmethane diisocyanate]",lung,1
1455618,[UnknownCAS]_[Pyrethrins],neuro,1
1458213,[unknownCAS]_[dietary salt],vascular,1
1472441,[50-00-0]_[formaldehyde],ent_cancer,1
1498477,[unknowncas]_[pyrethrins],any_congenital,1
1508423,[79-06-1]_[Acrylamide],neuro,1
1508425,[127-18-4]_[tetrachloroethylene],neuro,2
1516773,[104-76-7]_[2-ethylhexanol],any_congenital,2
3715914,[79-01-6]_[trichloroethylene],lung,1
3741545,[118-74-1]_[hexachlorobenzene],integument,1
3749366,[12427-38-2]_[maneb],any_congenital,1
14654251,[140-66-9]_[4-tert-octylphenol],reproductive,1
3757955,[117-84-0]_[di-n-octyl phthalate],liver,2
3758280,[7439-97-6]_[mercury],any_congenital,2
3764322,[87-68-3]_[hexachlorobutadiene],renal,1
3769136,[117-81-7]_[Diethylhexyl Phthalate],liver_cancer,1
2237917,[79-06-1]_[Acrylamide],neuro,1
2244335,[7439-92-1]_[lead],any_congenital,1
2250668,[104-76-7]_[2-ethylhexanol],liver,1
2266797,[87-68-3]_[hexachlorobutadiene],renal,1
12773765,[688-73-3]_[tributyltin],reproductive,1
2298551,[1634-04-4]_[methyl tert-butyl ether],liver,2
2300492,[unknownCAS]_[dietary salt],gastrointestinal_cancer,1
22100993,"[106-99-0]_[1,3-butadiene]",reproductive,1
2309737,[unknownCAS]_[dietary salt],vascular,1
2310206,[131-57-7]_[oxybenzone],integument,1
2310407,[118-74-1]_[hexachlorobenzene],liver,1
2310721,[7439-97-6]_[mercury],neuro,2
2315914,[UnknownCAS]_[Pyrethrins],neuro,1
2317087,[7440-43-9]_[cadmium],renal,1
2319471,[104-76-7]_[2-ethylhexanol],liver,1
5066587,[14807-96-6]_[talc],lung,1
5079419,[80-62-6]_[methylmethacrylate],heart_other,1
5079704,[7439-97-6]_[mercury],any_congenital,1
5096198,[79-01-6]_[trichloroethylene],lung,1
5142559,[7440-48-4]_[cobalt],heart_other,1
5151047,[7440-36-0]_[antimony],lung,1
2591011,[25013-16-5]_[butylated hydroxyanisole],gastrointestinal_cancer,1
2593968,[7439-97-6]_[mercury],neuro,1
2597169,[116-14-3]_[tetrafluoroethylene],renal,1
2611159,[7439-96-5]_[manganese],neuro,1
2616898,[22839-47-0]_[aspartame],neuro,2
2621010,[unknowncas]_[emf not rf],neuro_cancer,1
2626149,[100-42-5]_[styrene],cognitive,1
2627835,[unknowncas]_[rf not phone],heart_other,1
2635147,[117-81-7]_[diethylhexyl phthalate],any_congenital,1
2637144,"[106-99-0]_[1,3-butadiene]",hematologic_cancer,1
2637164,[7440-43-9]_[cadmium],lung_cancer,1
2637165,[7440-43-9]_[cadmium],lung_cancer,1
2643658,"[101-68-8]_[4,4'-diphenylmethane diisocyanate]",lung,1
2666476,[22839-47-0]_[aspartame],cognitive,2
6701912,[79-06-1]_[acrylamide],neuro,1
6707786,[87-68-3]_[hexachlorobutadiene],renal,1
17517826,[50471-44-8]_[vinclozolin],reproductive,1
6710541,[1563-66-2]_[carbofuran],neuro,1
6715052,[79-01-6]_[trichloroethylene],neuro,1
6717458,"[126-72-7]_[tris(2,3-dibromopropyl)phosphate]",liver,1
11700244,[127-18-4]_[tetrachloroethylene],reproductive,1
6732872,[unknowncas]_[emf not rf],cognitive,2
6734555,[7440-43-9]_[cadmium],renal,2
6740671,[75-35-4]_[vinylidene chloride],lung,1
6749048,[117-81-7]_[diethylhexyl phthalate],lung,1
9379912,"[106-99-0]_[1,3-butadiene]",reproductive,1
12491693,[UnknownCAS]_[Pyrethrins],reproductive,1
6758977,[18540-29-9]_[chromium hexavalent ion],hematologic,1
6403851,[106-93-4]_[ethylene dibromide],reproductive,1
1525323,[50-00-0]_[formaldehyde],hematologic_cancer,1
1527722,[UnknownCAS]_[Pyrethrins],neuro,1
1532642,[106-46-7]_[4-dichlorobenzene],neuro,1
1539182,[335-67-1]_[perfluorooctanoic acid],liver,1
1565758,[unknownCAS]_[dietary salt],heart_other,1
1568270,"[126-72-7]_[tris(2,3-dibromopropyl)phosphate]",liver,1
1578509,[UnknownCAS]_[Pyrethrins],neuro,1
1579221,[22839-47-0]_[aspartame],neuro,1
1585369,[75-09-2]_[methylene chloride],lung_cancer,2
1593975,[118-74-1]_[hexachlorobenzene],any_congenital,1
1600775,[7440-48-4]_[cobalt],lung,1
1604371,[unknowncas]_[rf not phone],hematologic_cancer,2
23435201,[140-66-9]_[4-tert-octylphenol],reproductive,1
22560493,[140-66-9]_[4-tert-octylphenol],reproductive,1
22263564,[UnknownCAS]_[nano_Zinc oxide],liver,1
23824008,[UnknownCAS]_[nano_Zinc oxide],liver,1
23802425,[UnknownCAS]_[nano_Zinc oxide],liver,1
22911427,[7440-43-9]_[Cadmium],lung,1
8203552,[unknownCAS]_[dietary salt],renal,1
8209376,[104-76-7]_[2-ethylhexanol],liver,2
15620593,[118-74-1]_[hexachlorobenzene],reproductive,1
8212061,[84-74-2]_[dibutyl phthalate],any_congenital,1
8217177,[80-62-6]_[methylmethacrylate],lung,2
8229908,[unknownCAS]_[dietary salt],heart_other,1
12700395,[106-46-7]_[4-dichlorobenzene],liver_cancer,2
22987869,[unknownCAS]_[dietary salt],vascular,1
22810841,[unknownCAS]_[dietary salt],vascular,1
9714333,[106-46-7]_[4-dichlorobenzene],liver_cancer,2
7140699,[117-81-7]_[Diethylhexyl Phthalate],reproductive,1
590457,[106-46-7]_[4-dichlorobenzene],liver,2
599593,"[126-72-7]_[tris(2,3-dibromopropyl)phosphate]",renal,1
612450,[127-18-4]_[tetrachloroethylene],lung,1
612450,[127-18-4]_[tetrachloroethylene],neuro,2
619697,[7440-43-9]_[cadmium],lung,1
3778835,[7440-43-9]_[cadmium],lung,1
3779902,[18540-29-9]_[chromium hexavalent ion],any_congenital,1
3779902,[18540-29-9]_[chromium hexavalent ion],hematologic,1
3781442,[75-09-2]_[methylene chloride],liver_cancer,2
3790457,[50-00-0]_[formaldehyde],ent_cancer,1
3793241,[7440-43-9]_[cadmium],bonejoint,1
3800381,[87-68-3]_[hexachlorobutadiene],renal,1
3804112,[25013-16-5]_[butylated hydroxyanisole],gastrointestinal_cancer,1
3804119,[25013-16-5]_[butylated hydroxyanisole],gastrointestinal_cancer,1
3804120,[25013-16-5]_[butylated hydroxyanisole],gastrointestinal_cancer,1
3809891,[79-06-1]_[Acrylamide],neuro,1
3812499,[7440-48-4]_[cobalt],heart_other,2
11556103,[unknowncas]_[pyrethrins],reproductive,1
3824752,[127-18-4]_[tetrachloroethylene],eye,1
3827588,[79-06-1]_[Acrylamide],neuro,1
2328223,[127-18-4]_[tetrachloroethylene],gastrointestinal_cancer,1
2328449,[unknownCAS]_[dietary salt],neuro_vascular,2
2343456,[7440-43-9]_[cadmium],bonejoint,1
2346632,[unknownCAS]_[dietary salt],vascular,1
2350236,[1634-04-4]_[methyl tert-butyl ether],liver,1
2353193,[127-18-4]_[tetrachloroethylene],liver_cancer,1
2355402,[117-81-7]_[Diethylhexyl Phthalate],liver_cancer,1
2356842,[127-18-4]_[tetrachloroethylene],urogenital_cancer,1
2356842,[79-01-6]_[trichloroethylene],urogenital,1
20581126,[79-06-1]_[acrylamide],reproductive,1
2369500,[unknownCAS]_[dietary salt],heart_other,1
2375501,[60-51-5]_[dimethoate],any_congenital,1
2389258,[127-18-4]_[tetrachloroethylene],neuro,1
8773178,[127-18-4]_[tetrachloroethylene],reproductive,1
2397985,[14807-96-6]_[talc],lung,1
2399412,[140-88-5]_[ethyl acrylate],gastrointestinal_cancer,1
2401062,[unknownCAS]_[dietary salt],heart_chf,1
2401250,[100-42-5]_[styrene],hematologic_cancer,1
22271428,[7440-43-9]_[Cadmium],reproductive,1
21793897,[7440-43-9]_[Cadmium],reproductive,1
22828241,[7440-43-9]_[Cadmium],reproductive,1
23000194,[7440-43-9]_[Cadmium],lung,1
22057056,[unknownCAS]_[dietary salt],neuro_vascular,1
23558163,[unknownCAS]_[dietary salt],neuro_vascular,1
7152699,[79-01-6]_[trichloroethylene],neuro,2
7152705,[127-18-4]_[tetrachloroethylene],neuro,2
7164529,[118-74-1]_[hexachlorobenzene],integument,1
2707735,[118-74-1]_[hexachlorobenzene],liver,1
2723419,[12427-38-2]_[maneb],endocrine,1
2744870,[7439-97-6]_[mercury],heart_other,2
2750733,[14807-96-6]_[talc],reproductive_cancer,1
2753008,[14807-96-6]_[talc],lung,1
2768572,[7440-48-4]_[cobalt],eye,2
2777501,[18540-29-9]_[chromium hexavalent ion],hematologic,1
6848853,[50-00-0]_[formaldehyde],ent_cancer,1
6857675,[111-76-2]_[n-butoxyethanol],hematologic,1
6858244,[14807-96-6]_[talc],lung_cancer,1
6881681,"[101-68-8]_[4,4'-diphenylmethane diisocyanate]",lung,1
6892858,[79-01-6]_[trichloroethylene],lung,1
5280675,[7439-97-6]_[mercury],neuro,1
5291135,[7440-48-4]_[cobalt],heart_other,1
5357278,[7439-97-6]_[mercury],eye,1
14710596,[118-74-1]_[hexachlorobenzene],reproductive,1
1793102,[127-18-4]_[tetrachloroethylene],reproductive,1
5456120,[79-01-6]_[trichloroethylene],neuro,1
14555193,[7440-43-9]_[cadmium],reproductive,1
655236,[100-42-5]_[styrene],cognitive,2
683919,[14807-96-6]_[talc],lung,1
9379913,[unknowncas]_[emf not rf],reproductive,2
16716481,[79-94-7]_[tetrabromobisphenol a],reproductive,2
15509668,[80-05-7]_[bisphenol a],reproductive,1
8243177,"[101-68-8]_[4,4'-diphenylmethane diisocyanate]",lung,1
8243396,[7440-43-9]_[cadmium],lung,1
8259465,[14807-96-6]_[talc],lung,1
8266904,[822-36-6]_[4-methylimidazole],neuro,2
8276717,[25013-16-5]_[butylated hydroxyanisole],gastrointestinal_cancer,1
8277926,[100-42-5]_[styrene],ear,1
8277926,[79-01-6]_[trichloroethylene],neuro,1
8281887,"[541-73-1]_[1,3-dichlorobenzene]",liver,1
8281887,[95-50-1]_[2-dichlorobenzene],liver,1
8282456,[unknownCAS]_[dietary salt],gastrointestinal_cancer,1
10719038,[79-06-1]_[acrylamide],reproductive,1
17701345,[7439-97-6]_[mercury],reproductive,1
8291132,[UnknownCAS]_[Pyrethrins],neuro,1
8296772,[unknowncas]_[emf not rf],breast,1
8314462,[115-96-8]_[tris(chloroethyl)phosphate],renal_cancer,1
8314619,[50-00-0]_[formaldehyde],hematologic_cancer,1
17680492,[25154-52-3]_[nonylphenol],reproductive,1
3842813,[unknowncas]_[rf not phone],neuro,1
3879166,[18540-29-9]_[chromium hexavalent ion],hematologic,1
3883695,"[126-72-7]_[tris(2,3-dibromopropyl)phosphate]",renal,1
3883695,"[13674-87-8]_[tris(1,3-dichloro-2-propyl)phosphate]",renal,2
3902420,[22839-47-0]_[aspartame],endocrine,2
3912740,[7440-48-4]_[cobalt],bonejoint,2
3915830,[7439-97-6]_[mercury],renal,1
6109470,[79-01-6]_[trichloroethylene],reproductive,1
3946111,[74-83-9]_[methyl bromide],neuro,1
23079988,[7440-43-9]_[Cadmium],lung,1
8856737,[7439-92-1]_[lead],any_congenital,1
8857117,[7440-48-4]_[cobalt],heart_other,2
8866539,[100-42-5]_[styrene],cognitive,1
8870953,[116-14-3]_[tetrafluoroethylene],hematologic,2
8881020,[unknowncas]_[mold],lung,1
8882119,[50-00-0]_[formaldehyde],ent_cancer,1
8883924,[7439-91-0]_[lanthanum],neuro,1
20347958,[1563-66-2]_[carbofuran],reproductive,1
8888408,[85-68-7]_[butylbenzyl phthalate],any_congenital,1
8889795,[7439-92-1]_[lead],any_congenital,1
23410587,[7440-43-9]_[Cadmium],bonejoint,1
21630100,[7440-43-9]_[Cadmium],bonejoint,1
23053610,[7440-43-9]_[Cadmium],bonejoint,1
23139171,"[183658-27-7]_[2-Ethylhexyl-2,3,4,5-tetrabromobenzoate]",heart_chf,1
23376177,[140-66-9]_[4-tert-octylphenol],any_congenital,1
3343699,[7440-43-9]_[cadmium],lung,1
17657460,[25154-52-3]_[nonylphenol],reproductive,1
3350606,[18540-29-9]_[chromium hexavalent ion],renal,2
3356864,"[126-72-7]_[tris(2,3-dibromopropyl)phosphate]",renal,1
3361344,[106-46-7]_[4-dichlorobenzene],neuro,1
3376131,[UnknownCAS]_[Pyrethrins],neuro,2
3377549,[79-01-6]_[trichloroethylene],neuro,1
3387963,[127-18-4]_[tetrachloroethylene],neuro,1
7196605,[79-01-6]_[trichloroethylene],neuro,1
7199687,[7439-97-6]_[mercury],eye,1
7200581,[79-01-6]_[trichloroethylene],neuro,1
7202150,[79-06-1]_[Acrylamide],neuro,1
7209981,[71-43-2]_[benzene],any_congenital,1
7217049,[18540-29-9]_[chromium hexavalent ion],renal,1
7218378,[74-83-9]_[methyl bromide],neuro,1
7233443,[118-74-1]_[hexachlorobenzene],any_congenital,1
19482828,[1912-24-9]_[atrazine],reproductive,1
7245237,[7439-97-6]_[mercury],any_congenital,1
7267121,[unknowncas]_[sugar],renal,1
7292525,[1071-83-6]_[glyphosate],liver,1
7295533,[unknowncas]_[sugar],renal,1
7305154,[79-01-6]_[trichloroethylene],neuro,1
7305446,[7440-43-9]_[cadmium],lung,1
5663422,[7440-36-0]_[antimony],lung,1
11018750,[140-66-9]_[4-tert-octylphenol],reproductive,2
5732351,[71-43-2]_[benzene],any_congenital,1
5744453,[79-01-6]_[trichloroethylene],neuro,1
19211133,[32534-81-9]_[pentabromodiphenyl ether],reproductive,1
5764504,[7440-48-4]_[cobalt],heart_other,1
5775443,[79-01-6]_[trichloroethylene],neuro,1
10341150,[25154-52-3]_[nonylphenol],reproductive,1
5890913,[7439-97-6]_[mercury],any_congenital,1
5925353,[7439-97-6]_[mercury],heart_other,1
15833242,[80-05-7]_[bisphenol A],reproductive,2
8931347,[7439-97-6]_[mercury],renal,2
1444600,[7439-92-1]_[lead],reproductive,2
8937458,[unknowncas]_[aloe],liver,1
8937893,[7440-48-4]_[cobalt],any_congenital,1
8954750,[2921-88-2]_[chlorpyrifos],neuro,1
8956623,[unknowncas]_[emf not rf],neuro_cancer,1
8982017,[unknowncas]_[rf not phone],hematologic_cancer,1
8991072,"[126-72-7]_[tris(2,3-dibromopropyl)phosphate]",other_cancer,1
8991072,"[126-72-7]_[tris(2,3-dibromopropyl)phosphate]",renal,1
3998377,[87-68-3]_[hexachlorobutadiene],liver,1
4005851,[18540-29-9]_[chromium hexavalent ion],renal,1
4006056,"[126-72-7]_[tris(2,3-dibromopropyl)phosphate]",liver,2
4006059,"[84-65-1]_[9,10-anthraquinone]",liver,2
4015399,[100-42-5]_[styrene],cognitive,2
4016015,[50-00-0]_[formaldehyde],ent_cancer,1
4020393,[79-01-6]_[trichloroethylene],neuro,1
4024112,[7440-43-9]_[cadmium],lung,1
18602967,[94-26-8]_[butylparaben],reproductive,2
4035701,[79-06-1]_[Acrylamide],neuro,1
4043882,[118-74-1]_[hexachlorobenzene],any_congenital,1
4044469,[7439-97-6]_[mercury],renal,1
4050802,[100-42-5]_[styrene],hematologic_cancer,2
4051579,[50-00-0]_[formaldehyde],cognitive,1
4053034,[unknownCAS]_[dietary salt],gastrointestinal_cancer,1
4053278,[117-81-7]_[Diethylhexyl Phthalate],liver_cancer,1
4056306,[50-00-0]_[formaldehyde],lung,2
2786382,[131-57-7]_[oxybenzone],integument,1
2792977,[8018-01-7]_[mancozeb],endocrine,1
2835963,[unknownCAS]_[dietary salt],heart_chf,1
2842021,[unknownCAS]_[dietary salt],heart_chf,1
2846111,[7439-92-1]_[lead],any_congenital,1
2846508,[7440-36-0]_[antimony],heart_other,1
17121473,[18540-29-9]_[chromium hexavalent ion],reproductive,1
2865529,[22839-47-0]_[aspartame],neuro,1
473229,[79-01-6]_[trichloroethylene],any_congenital,1
484526,[unknownCAS]_[dietary salt],vascular,1
494272,[75-35-4]_[vinylidene chloride],any_congenital,1
496430,[80-62-6]_[methylmethacrylate],lung,2
508584,[7439-97-6]_[mercury],renal,1
521043,[unknownCAS]_[dietary salt],heart_ischemic,1
522356,[1934-21-0]_[tartrazine],lung,1
17280716,[1912-24-9]_[atrazine],reproductive,1
534676,[7439-92-1]_[lead],any_congenital,1
549384,[7440-48-4]_[cobalt],lung,1
9163691,"[126-72-7]_[tris(2,3-dibromopropyl)phosphate]",liver,1
9169633,[18540-29-9]_[chromium hexavalent ion],renal,2
9179723,[1634-04-4]_[methyl tert-butyl ether],liver,1
6959383,[71-43-2]_[benzene],hematologic_cancer,1
6977982,[100-42-5]_[styrene],ear,1
6980036,[7440-43-9]_[cadmium],lung,1
7001854,[unknownCAS]_[dietary salt],vascular,2
7069266,"[101-68-8]_[4,4'-diphenylmethane diisocyanate]",lung,1
845199,[7440-48-4]_[cobalt],bonejoint,2
1377351,[106-93-4]_[ethylene dibromide],reproductive,2
857344,[14807-96-6]_[talc],lung,1
864790,[1934-21-0]_[tartrazine],any_congenital,2
882985,[118-74-1]_[hexachlorobenzene],liver,1
883727,[7440-48-4]_[cobalt],heart_other,1
891182,[131-53-3]_[dioxybenzone],integument,1
925719,[127-18-4]_[tetrachloroethylene],neuro,1
929618,[18540-29-9]_[chromium hexavalent ion],renal,1
937808,[118-74-1]_[hexachlorobenzene],liver,1
951373,[7439-97-6]_[mercury],any_congenital,2
21933222,[7440-43-9]_[Cadmium],reproductive,1
22146992,[127-18-4]_[Tetrachloroethylene],gastrointestinal_cancer,1
22083847,[127-18-4]_[Tetrachloroethylene],neuro,1
23238473,[79-94-7]_[tetrabromobisphenol A],neuro,1
12849686,[80-05-7]_[bisphenol A],reproductive,1
7932845,[122-34-9]_[simazine],breast,1
1630578,[79-06-1]_[Acrylamide],neuro,1
1635841,[79-01-6]_[trichloroethylene],any_congenital,1
1649802,"[101-68-8]_[4,4'-diphenylmethane diisocyanate]",lung,1
1665759,[unknownCAS]_[dietary salt],vascular,1
1673618,[1071-83-6]_[glyphosate],neuro,1
1675421,[74-83-9]_[methyl bromide],neuro,1
1683550,[106-46-7]_[4-dichlorobenzene],liver,1
1696484,[7439-97-6]_[mercury],any_congenital,1
20429810,[106-89-8]_[Epichlorohydrin],reproductive,1
20431864,[106-89-8]_[Epichlorohydrin],reproductive,1
5436540,[106-89-8]_[Epichlorohydrin],reproductive,1
7373447,[106-89-8]_[Epichlorohydrin],reproductive,2
22434383,[106-93-4]_[Ethylene Dibromide],hematologic_cancer,1
23183024,[106-94-5]_[1-bromopropane],neuro,1
23257000,[106-94-5]_[1-bromopropane],neuro,1
16276058,[106-46-7]_[4-dichlorobenzene],liver_cancer,1
22705323,[unknownCAS]_[dietary salt],vascular,1
2143312,[127-18-4]_[tetrachloroethylene],reproductive,1
9924013,[556-67-2]_[octamethylcyclotetrasiloxane],liver,1
8546111,[unknowncas]_[emf not rf],neuro_cancer,2
8546112,[unknowncas]_[emf not rf],neuro_cancer,2
8562161,[unknowncas]_[emf not rf],hematologic_cancer,1
8563209,[7439-97-6]_[mercury],neuro,1
8563844,[7439-97-6]_[mercury],neuro,1
8566879,[71-43-2]_[benzene],hematologic_cancer,1
8580608,[UnknownCAS]_[Pyrethrins],neuro,1
11750080,[140-66-9]_[4-tert-octylphenol],reproductive,1
8599771,[7439-96-5]_[manganese],neuro,2
8620580,[335-67-1]_[perfluorooctanoic acid],liver,1
8625286,"[84-65-1]_[9,10-anthraquinone]",gastrointestinal_cancer,1
8630474,[7439-97-6]_[mercury],heart_other,1
8640755,[50-00-0]_[formaldehyde],ent_cancer,1
8641666,[2921-88-2]_[chlorpyrifos],neuro,2
3389665,[75-09-2]_[methylene chloride],breast,1
3394157,[7440-43-9]_[cadmium],bonejoint,1
3396665,[79-01-6]_[trichloroethylene],lung,1
3396790,[UnknownCAS]_[Pyrethrins],neuro,1
3398074,[1912-24-9]_[atrazine],any_congenital,2
15596252,[80-05-7]_[bisphenol A],reproductive,1
3405353,[7439-97-6]_[mercury],heart_other,1
3406961,[117-81-7]_[diethylhexyl phthalate],any_congenital,2
3407592,nano_Zinc oxide,lung,1
3418956,[79-01-6]_[trichloroethylene],lung,1
3433043,[7440-36-0]_[antimony],heart_other,1
3442383,[118-74-1]_[hexachlorobenzene],integument,1
3452297,[79-01-6]_[trichloroethylene],neuro,1
3453398,[unknownCAS]_[dietary salt],vascular,2
3467116,[25013-16-5]_[butylated hydroxyanisole],gastrointestinal_cancer,1
3468919,[127-18-4]_[tetrachloroethylene],neuro,1
3468919,[79-01-6]_[trichloroethylene],neuro,1
3519024,[7439-97-6]_[mercury],renal,1
3548601,[1934-21-0]_[tartrazine],mental_disorder,2
17891325,[60-51-5]_[dimethoate],reproductive,1
2401271,"[106-99-0]_[1,3-butadiene]",hematologic_cancer,1
2403392,[118-74-1]_[hexachlorobenzene],liver,1
3179769,[8018-01-7]_[mancozeb],reproductive,1
10810111,[unknowncas]_[emf not rf],hematologic_cancer,1
10810127,[18540-29-9]_[chromium hexavalent ion],lung_cancer,1
10810129,"[101-68-8]_[4,4'-diphenylmethane diisocyanate]",lung,1
10811566,[80-05-7]_[bisphenol a],breast,1
